title;budget;genres;original_language;release_date;revenue;runtime;vote_average;vote_count
Tokyo Ghoul;0;Action | Drama | Horror | Thriller;ja;2017-07-29;0;119;10.0;1
An Inconvenient Sequel - Truth to Power;1000000;Documentary;en;2017-07-28;0;100;5.9;9
The Emoji Movie;50000000;Comedy | Family | Animation;en;2017-07-28;66913939;86;5.8;327
Detroit;34000000;Thriller | Crime | Drama | History;en;2017-07-28;0;143;7.3;67
Thick Lashes of Lauri Mäntyvaara;1254040;Romance | Comedy;fi;2017-07-28;0;90;8.0;1
Brigsby Bear;0;Comedy | Drama;en;2017-07-27;0;100;7.0;12
The Son of Bigfoot;0;Animation | Comedy;en;2017-07-27;0;92;6.6;10
Atomic Blonde;30000000;Action | Thriller;en;2017-07-26;90007945;115;6.1;748
The Gracefield Incident;0;Horror | Science Fiction | Action;en;2017-07-21;0;95;4.7;26
Girls Trip;0;Comedy;en;2017-07-21;0;122;7.1;393
Landline;0;Comedy;en;2017-07-21;0;93;5.1;9
First Kill;0;Action | Thriller;en;2017-07-21;0;97;5.2;38
Descendants 2;0;TV Movie | Family | Action | Comedy | Music | Adventure;en;2017-07-21;0;111;7.5;171
Valerian and the City of a Thousand Planets;197471676;Adventure | Science Fiction | Action;en;2017-07-20;90024292;137;6.7;905
Dunkirk;100000000;Action | Drama | History | Thriller | War;en;2017-07-19;519876949;107;7.5;2712
Feed;0;Drama;en;2017-07-18;0;96;7.3;50
City of Ghosts;0;Documentary;en;2017-07-14;0;90;2.0;3
Blockbuster;0;Comedy | Crime;ru;2017-07-13;0;82;7.3;3
Shot Caller;0;Drama | Crime | Thriller;en;2017-07-13;0;121;6.9;324
The Nile Hilton Incident;0;Thriller | Drama;sv;2017-07-12;0;106;7.3;32
War for the Planet of the Apes;152000000;Drama | Science Fiction | War;en;2017-07-11;369907963;140;6.7;1675
The Saint;0;Action | Adventure | Crime;en;2017-07-11;0;92;5.8;41
Tour de Pharmacy;0;Comedy | TV Movie;en;2017-07-08;0;41;6.8;36
A Ghost Story;100000;Drama | Fantasy | Romance;en;2017-07-07;15584255;92;6.8;95
Hickok;0;Western;en;2017-07-07;0;88;5.0;9
Do You Take This Man;0;Drama;en;2017-07-07;0;92;0.0;0
Wish Upon;0;Fantasy | Horror | Thriller;en;2017-07-07;0;90;5.3;127
Mom;0;Crime | Drama | Thriller;hi;2017-07-07;0;146;6.6;14
Stratton;0;Action | Thriller;en;2017-07-06;0;94;4.8;26
Revolt;0;Science Fiction;en;2017-07-01;0;87;6.0;21
The Little Hours;0;Comedy;en;2017-06-30;0;89;5.9;36
Amityville - The Awakening;0;Thriller | Horror;en;2017-06-30;0;85;5.8;98
Summer 1993;0;Drama | Family;ca;2017-06-30;0;96;6.0;9
Inconceivable;0;Thriller | Drama;en;2017-06-30;0;105;6.1;33
The House;40000000;Comedy;en;2017-06-29;0;88;5.9;91
02 -22 -00;0;Drama | Thriller;en;2017-06-29;422;99;5.5;277
Overdrive;0;Thriller | Action;en;2017-06-29;0;93;6.2;76
Baby Driver;34000000;Action | Crime;en;2017-06-28;224511319;113;7.2;2083
Abduction;0;Fantasy | Drama;en;2017-06-28;0;90;0.0;0
Bedeviled;0;Horror | Thriller;en;2017-06-28;0;91;4.9;47
The Big Sick;0;Comedy | Drama | Romance;en;2017-06-23;52620184;120;7.7;249
The Beguiled;10500000;Drama | Western;en;2017-06-23;25442939;93;5.8;279
The Bad Batch;6000000;Thriller | Romance | Science Fiction;en;2017-06-23;0;119;5.3;160
Hampstead;0;Romance | Comedy;en;2017-06-23;0;102;7.3;9
Ripped;0;Comedy;en;2017-06-23;0;97;5.0;7
Edith Walks;0;Documentary;en;2017-06-23;0;60;0.0;0
Transformers - The Last Knight;260000000;Action | Science Fiction | Thriller | Adventure;en;2017-06-21;604942143;149;6.2;1440
Rory Scovel Tries Stand-Up for the First Time;0;Comedy;en;2017-06-20;0;66;8.0;6
You Get Me;0;Thriller | Romance | Drama;en;2017-06-19;0;89;5.5;280
The Book of Henry;10000000;Thriller | Drama | Crime;en;2017-06-16;4219536;105;7.6;84
47 Meters Down;5500000;Drama | Thriller | Horror | Adventure;en;2017-06-15;44235023;89;5.1;548
Manifesto;10000;Drama;en;2017-06-15;0;130;8.0;4
Cars 3;175000000;Family | Comedy | Animation | Adventure;en;2017-06-15;350170057;109;6.6;718
Rough Night;20000000;Drama | Comedy;en;2017-06-15;45056771;101;5.6;336
Despicable Me 3;80000000;Action | Animation | Adventure | Family | Comedy;en;2017-06-15;1020063384;96;6.2;2002
The Evil Within;4000000;Horror;en;2017-06-13;0;98;7.4;11
Mutafukaz;0;Science Fiction | Animation;fr;2017-06-13;0;90;7.5;2
Oh, Hello - On Broadway;0;Comedy;en;2017-06-13;0;102;6.8;13
All Eyez on Me;45000000;Drama | Music;en;2017-06-12;0;139;6.3;436
The Putin Interviews;0;Documentary;en;2017-06-12;0;240;8.1;8
Hell on Earth - The Fall of Syria and the Rise of ISIS;0;Documentary;en;2017-06-11;0;99;8.3;3
Middle Man;0;Drama | Comedy | Crime | Thriller;en;2017-06-09;0;100;0.0;5
Miles;0;Drama;en;2017-06-09;0;90;7.0;2
It Comes at Night;5000000;Horror | Mystery | Thriller;en;2017-06-09;0;91;5.6;357
Megan Leavey;0;Drama | War;en;2017-06-09;0;116;7.1;101
I Love You Both;0;Comedy;en;2017-06-09;0;90;5.5;2
11 -55 -00;0;Drama | Crime;en;2017-06-09;0;80;5.0;6
The Hero;0;Drama;en;2017-06-09;3384747;97;6.7;17
Beatriz at Dinner;0;Comedy | Drama;en;2017-06-09;0;83;6.3;22
Shimmer Lake;0;Thriller | Crime | Drama | Mystery;en;2017-06-09;0;83;6.0;74
Queerama;0;;en;2017-06-09;0;75;0.0;0
My Cousin Rachel;0;Drama | Romance;en;2017-06-08;2676077;106;5.7;91
Once Upon a Time in Venice;0;Action | Comedy | Thriller;en;2017-06-08;0;94;5.2;119
The Mummy;125000000;Thriller | Action | Adventure;en;2017-06-06;407778013;110;5.4;2122
Site Unseen - An Emma Fielding Mystery;0;Mystery;en;2017-06-04;0;90;6.0;2
Dumb - The Story of Big Brother Magazine;0;Documentary;en;2017-06-03;0;79;6.0;1
Dean;0;Comedy;en;2017-06-02;0;87;7.7;6
Band Aid;0;Comedy;en;2017-06-02;0;91;6.5;25
Stasis;0;Adventure | Science Fiction;en;2017-06-02;0;84;4.0;37
The Exception;0;Drama;en;2017-06-02;0;107;6.5;31
Captain Underpants - The First Epic Movie;38000000;Action | Animation | Comedy | Family;en;2017-06-01;110824373;89;6.5;159
Loveless;0;Drama;ru;2017-06-01;0;128;7.8;26
Kill Switch;1000000;Science Fiction;en;2017-06-01;0;91;5.1;58
Amor.com;0;Romance;pt;2017-06-01;0;92;6.8;17
Wonder Woman;149000000;Action | Adventure | Fantasy;en;2017-05-30;820580447;141;7.2;5025
Sarah Silverman - A Speck of Dust;0;Comedy;en;2017-05-30;0;71;7.7;11
Resident Evil - Vendetta;0;Action | Adventure | Animation | Horror | Mystery | Science Fiction;ja;2017-05-27;0;97;6.6;160
God of War;25000000;Action | History;zh;2017-05-27;0;130;5.0;10
Kiki;0;Documentary;en;2017-05-26;0;100;7.0;4
War Machine;60000000;Comedy | Drama | War;en;2017-05-26;0;122;5.8;243
Black Butterfly;0;Thriller;en;2017-05-26;0;93;6.5;93
Drone;4000000;Thriller;en;2017-05-26;0;91;5.7;55
The Double Lover;0;Thriller;fr;2017-05-26;0;110;6.2;72
Berlin Syndrome;0;Mystery | Thriller | Drama | Horror;en;2017-05-25;201719;116;6.0;100
McLaren;0;Documentary;en;2017-05-25;0;94;8.0;13
Churchill;10000000;Drama | Thriller | War;en;2017-05-25;0;110;6.4;30
Dirty Dancing;0;Music | Drama | Romance | TV Movie;en;2017-05-24;0;130;5.3;58
Pirates of the Caribbean - Dead Men Tell No Tales;230000000;Adventure | Action | Fantasy | Comedy;en;2017-05-23;794191988;129;6.6;2814
Mamaboy;700000;Comedy | Drama | Family | Fantasy | Romance | Science Fiction;en;2017-05-23;0;124;1.0;1
Hasan Minhaj - Homecoming King;0;Comedy;en;2017-05-23;0;72;8.1;22
The Wizard of Lies;0;Crime | Drama | History | TV Movie;en;2017-05-21;0;133;6.6;93
The Meyerowitz Stories;0;Comedy;en;2017-05-21;0;110;5.4;6
Blame!;0;Action | Animation | Drama | Horror | Science Fiction;ru;2017-05-20;0;106;6.7;47
Everything, Everything;10000000;Drama | Romance;en;2017-05-19;0;96;7.3;670
Diary of a Wimpy Kid - The Long Haul;22000000;Comedy | Family;en;2017-05-19;40120144;91;6.1;48
Okja;50000000;Adventure | Drama | Fantasy | Science Fiction;en;2017-05-19;0;121;7.7;795
AWOL;0;Drama;en;2017-05-19;0;82;5.3;3
Abacus - Small Enough to Jail;0;Documentary;en;2017-05-19;0;88;8.5;2
National Bird;0;Documentary;en;2017-05-18;0;92;7.0;9
Afterlov;0;Drama | Comedy;el;2017-05-18;0;94;0.0;0
Alcoholist;0;Drama | Thriller;en;2017-05-18;0;105;0.0;4
A Family Man;0;Drama;en;2017-05-18;0;108;6.7;60
Survival Family;0;;ja;2017-05-14;0;117;5.0;2
Shepherds and Butchers;0;Drama;en;2017-05-12;0;80;6.9;16
Baywatch;69000000;Action | Comedy;en;2017-05-12;177856751;116;6.1;1829
The Wall;0;Drama | Thriller | War;en;2017-05-12;1803009;89;6.1;117
Generation Iron 2;0;Documentary;en;2017-05-12;0;106;8.3;7
The Levelling;1282545;Drama;en;2017-05-12;0;83;5.9;11
Tracktown;0;Drama;en;2017-05-12;0;88;4.5;4
Dead Awake;0;Horror | Thriller;en;2017-05-12;0;99;5.3;20
Jawbone;0;Action | Drama;en;2017-05-12;0;91;6.6;19
Return to Montauk;0;Drama;de;2017-05-11;0;106;6.5;4
King Charles III;0;Drama;en;2017-05-10;0;89;6.8;8
Alien - Covenant;97000000;Horror | Science Fiction | Thriller;en;2017-05-09;232380243;122;5.7;2677
Boone - The Bounty Hunter;0;Action;en;2017-05-09;0;86;6.3;7
Chris Gethard - Career Suicide;0;Comedy;en;2017-05-06;0;90;7.5;4
Risk;0;Documentary;en;2017-05-05;0;97;6.9;10
The Dinner;0;Drama | Thriller;en;2017-05-05;1323312;120;4.1;44
Another Evil;0;Comedy | Horror;en;2017-05-05;0;92;6.1;10
The Lovers;0;Comedy;en;2017-05-05;214078;94;5.4;8
Mindhorn;0;Comedy;en;2017-05-05;0;89;6.4;63
Handsome - A Netflix Mystery Movie;0;Comedy;en;2017-05-05;0;81;5.7;30
Chuck;0;Drama;en;2017-05-05;0;101;6.1;17
Take Me;0;Comedy | Crime;en;2017-05-05;0;83;6.0;38
Snatched;42000000;Action | Comedy;en;2017-05-03;60845711;90;5.2;207
Maria Bamford - Old Baby;0;Comedy;en;2017-05-02;0;64;6.4;5
The Shadow Effect;4000000;Science Fiction | Action | Thriller;en;2017-05-02;0;93;5.0;21
Warning - This Drug May Kill You;0;TV Movie | Documentary;en;2017-05-01;0;60;7.0;3
The Truth Is in the Stars;0;Documentary;en;2017-05-01;0;86;7.5;2
Sleight;0;Drama | Thriller | Action | Science Fiction;en;2017-04-28;0;89;5.8;64
Casting JonBenet;0;Documentary;en;2017-04-28;0;81;5.4;40
Lowriders;916000;Drama;en;2017-04-28;2403885;99;7.0;20
How to Be a Latin Lover;0;Comedy;en;2017-04-28;26251899;115;6.1;85
Voice from the Stone;0;Drama | Mystery | Romance | Thriller;en;2017-04-28;0;94;5.2;88
Small Crimes;0;Drama | Comedy | Thriller | Crime;en;2017-04-28;0;95;5.8;55
This Is Not What I Expected;0;Comedy | Romance;zh;2017-04-28;0;106;6.5;2
Grey Lady;0;Thriller;en;2017-04-28;0;107;5.0;1
LA 92;0;Documentary;en;2017-04-28;0;114;8.8;3
The Circle;18000000;Drama | Thriller | Science Fiction;en;2017-04-27;20497844;110;5.4;1015
King Arthur - Legend of the Sword;175000000;Action | Drama | Fantasy;en;2017-04-27;146175066;126;6.5;1506
Zombie Pizza;0;Horror | Comedy;en;2017-04-27;0;94;9.3;2
Unlocked;0;Action | Thriller;en;2017-04-27;0;98;6.2;131
Baahubali 2 - The Conclusion;18000000;Action | Adventure | History | War;te;2017-04-27;230000000;161;6.7;161
Django;0;Drama;fr;2017-04-26;0;117;6.5;30
Obit;0;Documentary;en;2017-04-26;0;93;5.3;3
Vir Das - Abroad Understanding;0;Comedy;en;2017-04-25;0;65;7.0;5
Whitney - Can I Be Me;0;Music | Documentary;en;2017-04-24;0;105;6.1;57
The Girl from the Song;0;Drama | Music | Romance;en;2017-04-24;0;102;6.3;4
I Am Heath Ledger;0;Documentary;en;2017-04-23;0;90;7.5;26
Get Me Roger Stone;0;Documentary;en;2017-04-23;0;100;7.3;19
The Immortal Life of Henrietta Lacks;0;Drama;en;2017-04-22;0;93;6.5;13
The Reagan Show;0;Documentary;en;2017-04-22;0;75;10.0;1
Permission;0;Comedy | Romance;en;2017-04-22;0;96;0.0;1
The Promise;0;History | Romance | Drama;en;2017-04-21;0;130;7.3;69
Born in China;0;Documentary;zh;2017-04-21;0;76;7.6;28
Citizen Jane - Battle for the City;0;Documentary;en;2017-04-21;0;92;7.0;2
Phoenix Forgotten;2800000;Horror | Mystery | Science Fiction;en;2017-04-21;3600000;80;5.7;52
Sand Castle;0;Drama | War;en;2017-04-21;0;113;6.3;137
Unforgettable;12000000;Drama | Thriller;en;2017-04-20;17768012;100;5.7;117
Monolith;0;Drama | Thriller;it;2017-04-20;0;83;6.1;30
Guardians of the Galaxy Vol. 2;200000000;Action | Adventure | Comedy | Science Fiction;en;2017-04-19;863416141;137;7.6;4858
Lucas Brothers - On Drugs;0;Comedy;en;2017-04-18;0;49;6.3;4
The Dark Tapes;65000;Horror | Science Fiction | Thriller;en;2017-04-17;0;98;5.0;20
Maigrets Night at the Crossroads;0;TV Movie | Crime | Mystery | Thriller;en;2017-04-16;0;88;7.0;6
Skins;0;Drama | Comedy;es;2017-04-15;0;78;7.1;67
The Outcasts;0;Comedy;en;2017-04-14;0;95;7.1;141
Spark - A Space Tail;0;Adventure | Animation | Comedy | Family | Science Fiction;en;2017-04-14;116873;97;4.8;10
Sandy Wexler;0;Comedy;en;2017-04-14;0;130;5.3;105
Maudie;0;Drama | History | Romance;en;2017-04-14;0;115;7.6;20
Norman - The Moderate Rise and Tragic Fall of a New York Fixer;0;Comedy | Thriller | Drama;en;2017-04-14;0;117;5.6;34
Altitude;0;Action | Thriller;en;2017-04-14;0;86;4.1;27
Chasing Trane;0;Documentary;en;2017-04-14;393970;99;8.0;2
False Confessions;0;Drama | Comedy;fr;2017-04-13;0;85;0.0;1
Gifted;7000000;Drama;en;2017-04-12;37461045;101;7.7;549
The Spacewalker;7075038;Adventure | Drama | History;ru;2017-04-12;9868942;140;7.4;20
The Fate of the Furious;250000000;Action | Crime | Thriller;en;2017-04-12;1238764765;136;6.8;3803
Seizure;0;Horror;en;2017-04-11;0;85;0.0;0
Asylum of Darkness;0;Horror;en;2017-04-10;0;117;6.8;4
Moonlight in Vermont;0;Romance | TV Movie;en;2017-04-08;0;90;7.3;3
City of Tiny Lights;3892200;Crime | Drama | Thriller;en;2017-04-07;0;110;6.0;17
The Ticket;0;Drama;en;2017-04-07;0;97;5.6;22
The Case for Christ;0;Drama;en;2017-04-07;0;112;6.2;27
1 Mile to You;0;Drama | Romance;en;2017-04-07;0;104;6.7;29
The Transfiguration;0;Horror | Drama;en;2017-04-07;0;97;6.1;27
Orbiter 9;0;Drama | Science Fiction | Romance;es;2017-04-07;0;95;5.5;24
Colossal;0;Action | Comedy | Drama | Fantasy | Science Fiction;en;2017-04-06;3021345;110;6.2;394
A Fantastic Woman;0;Drama;es;2017-04-06;0;104;7.2;13
Their Finest;32745300;Romance | War | Comedy | Drama;en;2017-04-06;12173470;117;7.1;64
Going in Style;25000000;Crime | Comedy | Drama;en;2017-04-06;84618541;96;6.6;543
Aftermath;10500000;Drama | Thriller;en;2017-04-06;3451;92;5.8;162
Teleios;1000000;Science Fiction;en;2017-04-06;0;93;5.2;20
Bye Bye Germany;0;Comedy | Drama | War;de;2017-04-06;0;102;8.7;3
Revengeance;0;Comedy | Action | Animation;en;2017-04-05;0;71;8.0;2
With Open Arms;0;Comedy;fr;2017-04-05;0;92;5.2;94
Louis C.K. 2017;0;Comedy;en;2017-04-04;0;74;7.5;72
The Bigfoot Project;0;Comedy;en;2017-04-04;0;90;6.3;4
Monster High - Electrified;0;Family | Animation;en;2017-04-04;0;72;6.9;8
3 Idiotas;0;Family | Comedy;es;2017-04-02;0;106;6.2;14
For Here or to Go?;0;Drama | Comedy;en;2017-03-31;0;105;0.0;1
All This Panic;0;Documentary;en;2017-03-31;0;79;0.0;0
Carrie Pilby;0;Drama | Comedy;en;2017-03-31;0;98;7.0;56
Free Fire;10000000;Action | Comedy | Crime | Thriller;en;2017-03-31;3565109;90;6.3;232
The Discovery;0;Drama | Romance | Science Fiction | Thriller;en;2017-03-31;0;102;6.3;312
The Devotion of Suspect X;0;Mystery | Thriller;zh;2017-03-31;0;112;8.0;2
Bottom of the World;0;Drama | Mystery | Thriller;en;2017-03-31;0;85;5.5;24
Extraordinary Mission;0;Action | Crime | Thriller;zh;2017-03-31;0;117;8.7;3
Five Came Back;0;War | Documentary;en;2017-03-31;0;195;8.3;8
The Journey;0;Drama;en;2017-03-30;0;94;7.4;5
Ghost in the Shell;110000000;Action | Science Fiction | Thriller;en;2017-03-29;169801921;107;5.9;2547
Orphan;0;Drama;fr;2017-03-29;0;111;6.6;7
Félicité;0;Drama;fr;2017-03-29;0;123;6.0;3
After Porn Ends 2;0;Documentary;en;2017-03-28;0;90;5.9;27
Wilson;0;Drama | Comedy;en;2017-03-24;653951;94;6.1;81
Bokeh;0;Drama | Science Fiction | Thriller;en;2017-03-24;0;104;5.1;62
The Most Hated Woman in America;0;Crime | Drama;en;2017-03-24;0;91;6.2;38
From a House on Willow Street;0;Action | Horror;en;2017-03-24;0;90;5.1;43
Diamond Cartel;7000000;Action;en;2017-03-24;0;100;7.2;5
Phillauri;0;Fantasy | Comedy | Romance | Drama;hi;2017-03-24;0;138;7.1;11
The Boss Baby;125000000;Animation | Comedy | Family;en;2017-03-23;498814908;97;6.1;2336
Power Rangers;100000000;Action | Adventure | Science Fiction;en;2017-03-23;142337240;124;6.3;1321
CHiPS;25000000;Action | Comedy | Crime;en;2017-03-23;26800152;100;6.2;277
Smurfs - The Lost Village;60000000;Adventure | Animation | Comedy | Family;en;2017-03-23;197183546;89;6.2;311
Life;58000000;Horror | Science Fiction | Thriller;en;2017-03-22;100541806;103;6.3;1959
The Midwife;0;Comedy | Drama;fr;2017-03-22;0;117;6.2;21
Dave Chappelle - The Age of Spin;0;Comedy;en;2017-03-21;0;67;7.6;43
Dave Chappelle - Deep in the Heart of Texas;0;Comedy;en;2017-03-21;0;66;8.0;38
Carnage - Swallowing the Past;0;Science Fiction | Comedy | Documentary;en;2017-03-19;0;65;8.3;3
The Hippopotamus;0;Comedy;en;2017-03-19;0;86;7.1;18
The Cheerleader Murders;0;TV Movie | Thriller;en;2017-03-17;0;84;4.0;2
Song to Song;10000000;Drama | Music | Romance;en;2017-03-17;443684;129;5.4;179
Betting on Zero;0;Documentary;en;2017-03-17;0;99;7.1;16
Oasis;0;TV Movie | Drama | Science Fiction;en;2017-03-17;0;60;7.0;2
Goon - Last of the Enforcers;0;Comedy;en;2017-03-17;0;101;6.0;35
Beauty and the Beast;160000000;Family | Fantasy | Romance;en;2017-03-16;1262886337;129;6.8;5530
Vengeance - A Love Story;0;Action | Thriller;en;2017-03-16;0;99;5.5;37
Female Fight Club;2000000;Drama | Action;en;2017-03-16;0;90;7.2;5
Dance to Death;5000000;Action | Fantasy;ru;2017-03-16;0;90;4.0;1
Kincsem;0;Romance | Adventure | Drama | History;hu;2017-03-16;0;121;5.3;3
Chasing Coral;0;Documentary;en;2017-03-16;0;93;8.7;14
What the Health;273428;Documentary;en;2017-03-16;0;97;7.9;46
Tickling Giants;0;Documentary;en;2017-03-15;0;111;8.2;5
Jim Norton - Mouthful of Shame;0;Comedy;en;2017-03-14;0;61;7.2;6
Gemini;0;Thriller;en;2017-03-12;0;92;0.0;0
Win It All;0;Comedy;en;2017-03-11;0;88;5.7;61
Mommy Dead and Dearest;0;Documentary;en;2017-03-11;0;82;7.2;18
Becoming Bond;0;Documentary | Comedy;en;2017-03-11;0;91;7.1;10
Extinction - Nature Has Evolved;3400000;Thriller | Adventure;en;2017-03-10;0;100;0.0;10
The Ottoman Lieutenant;40000000;Romance | Drama | War;en;2017-03-10;240978;111;6.5;38
The Sense of an Ending;0;Mystery | Drama;en;2017-03-10;0;108;6.7;20
Unexpected Journey;1500000;Comedy | Drama;fi;2017-03-10;0;78;0.0;0
Rescue Under Fire;0;War;es;2017-03-10;5000000;93;6.1;17
All Nighter;0;Comedy;en;2017-03-10;0;86;6.1;42
Godless;0;Drama;bg;2017-03-09;0;99;1.0;2
Uncertain;0;Documentary;en;2017-03-09;0;82;5.0;1
A Few Less Men;0;Comedy;en;2017-03-09;123899;96;5.2;11
Kong - Skull Island;185000000;Action | Adventure | Fantasy;en;2017-03-08;566652812;118;6.2;3161
Lost in Paris;0;Comedy;fr;2017-03-08;0;83;7.0;7
The Raking;0;Horror;en;2017-03-07;0;98;5.7;6
Amy Schumer - The Leather Special;0;Comedy;en;2017-03-07;0;57;4.3;37
Security;15000000;Action;en;2017-03-04;0;87;6.0;113
Catfight;0;Comedy | Drama;en;2017-03-03;0;96;6.1;42
Lavender;0;Drama | Thriller;en;2017-03-03;0;92;5.5;54
Ana, My Love;0;Drama;fr;2017-03-03;0;127;0.0;3
Fair Haven;0;Family | Drama;en;2017-03-03;0;90;6.3;14
Donald Cried;0;Drama | Comedy;en;2017-03-03;0;85;8.0;2
The Institute;3000000;Thriller;en;2017-03-03;0;90;3.8;32
The Shack;20000000;Drama | Fantasy;en;2017-03-03;57330873;132;6.9;330
Kurt Braunohler - Trust Me;0;Comedy;en;2017-03-03;0;41;7.0;1
The Invisible Guardian;0;Thriller;en;2017-03-03;0;129;6.9;50
The Last Word;0;Comedy | Drama;en;2017-03-03;1783421;108;6.5;59
The Man;0;Drama | Comedy;da;2017-03-02;0;93;0.0;1
Before I Fall;5000000;Mystery | Drama | Thriller;en;2017-03-02;10025571;98;6.8;651
Commando 2 - The Black Money Trail;0;Action;hi;2017-03-02;0;123;5.6;5
On Body and Soul;0;Drama | Romance;hu;2017-03-02;0;116;7.7;6
Ghosts of Darkness;0;Horror;en;2017-03-01;0;83;6.6;10
Logan;97000000;Action | Drama | Science Fiction;en;2017-02-28;616801808;137;7.6;6310
Mike Birbiglia - Thank God for Jokes;0;Comedy;en;2017-02-28;0;71;7.5;14
The Farthest;0;Documentary;en;2017-02-26;0;120;8.3;6
Rangoon;12003848;War | History | Drama | Romance;hi;2017-02-24;0;167;7.0;10
Get Out;5000000;Mystery | Thriller | Horror;en;2017-02-24;252434250;104;7.2;2978
Spoor;0;Crime | Drama | Mystery | Thriller;pl;2017-02-24;0;128;7.6;12
Punching Henry;0;Comedy;en;2017-02-24;0;98;6.2;13
Tomato Red;0;Drama | Thriller;en;2017-02-24;0;112;8.0;2
Savageland;0;Horror | Mystery;en;2017-02-24;0;80;6.3;8
The Man Who Was Too Free;0;Documentary;ru;2017-02-23;77156;126;0.0;0
Bitter Harvest;20000000;War | Drama | History | Romance;en;2017-02-23;557241;103;6.7;22
A Wedding;0;Drama;fr;2017-02-22;0;95;6.3;20
Vamps;0;Horror | Action | Fantasy | Thriller;ru;2017-02-22;0;90;5.0;6
Brain on Fire;0;Drama;en;2017-02-22;0;95;8.0;41
Lucid Dream;5000000;Science Fiction | Thriller;ko;2017-02-22;0;101;6.8;27
Fare;0;Drama | Thriller;en;2017-02-21;0;75;4.8;4
Trevor Noah - Afraid of the Dark;0;Comedy;en;2017-02-21;0;68;7.6;16
Britney Ever After;0;Drama | TV Movie;en;2017-02-18;0;120;2.8;10
XX;0;Horror;en;2017-02-17;30911;80;5.0;106
In Dubious Battle;15000000;Drama;en;2017-02-17;0;110;5.6;22
Have a Nice Day;0;Animation | Crime;zh;2017-02-17;0;77;6.0;2
American Fable;0;Drama | Thriller;en;2017-02-17;0;96;6.3;27
Lovesong;0;Drama | Romance;en;2017-02-17;6700;85;6.4;30
Wild Mouse;0;Comedy | Crime | Drama;de;2017-02-17;0;103;7.0;12
Fist Fight;20000000;Comedy;en;2017-02-16;0;91;6.2;339
Have Fun, Vasya!;707503;Comedy;ru;2017-02-16;4781454;90;7.2;13
David Lynch - The Art Life;0;Documentary;en;2017-02-15;0;90;7.2;32
A Cure for Wellness;40000000;Mystery | Thriller | Horror | Science Fiction;en;2017-02-15;26559557;146;6.0;939
Colo;0;Drama;pt;2017-02-15;0;136;0.0;0
Alibi.com;0;Comedy;fr;2017-02-15;222430;90;6.9;389
Handsome Devil;1050000;Drama;en;2017-02-15;0;95;7.3;81
New Trial;0;Drama;ko;2017-02-15;0;119;6.9;4
Guardians;7000000;Action | Fantasy | Science Fiction;ru;2017-02-14;0;100;4.4;128
Katherine Ryan - In Trouble;0;Comedy;en;2017-02-14;0;63;6.8;8
The Babymoon;0;Romance | Action | Adventure | Comedy | Drama;en;2017-02-14;0;99;5.3;4
Mom or Dad?;0;Comedy;it;2017-02-14;0;103;5.6;61
Kedi;0;Documentary;tr;2017-02-10;0;80;7.4;21
Prevenge;0;Horror | Comedy | Drama | Thriller | Fantasy;en;2017-02-10;0;88;6.1;43
I Am Jane Doe;0;Crime | Documentary;en;2017-02-10;0;91;6.7;10
1 Night;0;Drama | Romance;en;2017-02-10;0;76;6.2;30
Fabricated City;0;Action;ko;2017-02-09;0;126;7.8;24
